Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
22.26,0,0.165824325,0.165824325,0.163665367,0.165824325,0.163665367,0,0,0,0,7.255895004,164.5053614,183.711001,5216046000
22.27,0,0.165820979,0.165820979,0.163663896,0.165820979,0.163663896,0,0,0,0,7.254915616,164.4958788,183.7062672,5218389000
22.28,0,0.165817629,0.165817629,0.163662419,0.165817629,0.163662419,0,0,0,0,7.253936677,164.486417,183.7015427,5220732000
22.29,0,0.16581429,0.16581429,0.16366095,0.16581429,0.16366095,0,0,0,0,7.252958182,164.4769478,183.6968115,5223076000
22.3,0,0.165810953,0.165810953,0.163659481,0.165810953,0.163659481,0,0,0,0,7.251979667,164.4674853,183.6920829,5225419000
22.31,0,0.165807622,0.165807622,0.163658016,0.165807622,0.163658016,0,0,0,0,7.251001613,164.458038,183.6873603,5227762000
22.32,0,0.165804291,0.165804291,0.163656548,0.165804291,0.163656548,0,0,0,0,7.250023511,164.4485631,183.6826209,5230105000
22.33,0,0.165800965,0.165800965,0.163655082,0.165800965,0.163655082,0,0,0,0,7.249046181,164.4391384,183.6779064,5232449000
22.34,0,0.165797652,0.165797652,0.163653627,0.165797652,0.163653627,0,0,0,0,7.248068968,164.4297017,183.6731834,5234791000
22.35,0,0.16579433,0.16579433,0.163652161,0.16579433,0.163652161,0,0,0,0,7.247092118,164.4202796,183.6684664,5237135000
22.36,0,0.165791023,0.165791023,0.163650707,0.165791023,0.163650707,0,0,0,0,7.246115247,164.4108319,183.6637334,5239478000
22.37,0,0.165787708,0.165787708,0.163649244,0.165787708,0.163649244,0,0,0,0,7.245138783,164.4014159,183.6590159,5241822000
22.38,0,0.165784396,0.165784396,0.16364778,0.165784396,0.16364778,0,0,0,0,7.244162742,164.3919929,183.6542918,5244165000
22.39,0,0.165781097,0.165781097,0.163646327,0.165781097,0.163646327,0,0,0,0,7.24318704,164.3825993,183.649582,5246508000
22.4,0,0.165777803,0.165777803,0.163644877,0.165777803,0.163644877,0,0,0,0,7.242211323,164.3731956,183.6448649,5248851000
22.41,0,0.165774509,0.165774509,0.163643425,0.165774509,0.163643425,0,0,0,0,7.241236035,164.3638136,183.6401575,5251194000
22.42,0,0.16577122,0.16577122,0.163641975,0.16577122,0.163641975,0,0,0,0,7.240260644,164.3543893,183.6354249,5253538000
22.43,0,0.165767943,0.165767943,0.163640534,0.165767943,0.163640534,0,0,0,0,7.239286157,164.345029,183.6307245,5255881000
22.44,0,0.165764649,0.165764649,0.163639074,0.165764649,0.163639074,0,0,0,0,7.238311581,164.3356554,183.6260152,5258224000
22.45,0,0.165761378,0.165761378,0.163637635,0.165761378,0.163637635,0,0,0,0,7.237336975,164.3262601,183.621292,5260568000
22.46,0,0.165758101,0.165758101,0.163636188,0.165758101,0.163636188,0,0,0,0,7.236363138,164.316903,183.6165869,5262910000
22.47,0,0.165754826,0.165754826,0.163634739,0.165754826,0.163634739,0,0,0,0,7.235389296,164.307547,183.6118807,5265253000
22.48,0,0.165751564,0.165751564,0.163633303,0.165751564,0.163633303,0,0,0,0,7.234415753,164.2981897,183.6071713,5267597000
22.49,0,0.165748298,0.165748298,0.163631858,0.165748298,0.163631858,0,0,0,0,7.233442219,164.2888325,183.6024604,5269940000
22.5,0,0.16574505,0.16574505,0.163630431,0.16574505,0.163630431,0,0,0,0,7.232469006,164.2794938,183.5977572,5272284000
22.51,0,0.165741786,0.165741786,0.163628985,0.165741786,0.163628985,0,0,0,0,7.231496199,164.2701453,183.5930458,5274627000
22.52,0,0.165738537,0.165738537,0.16362755,0.165738537,0.16362755,0,0,0,0,7.230523247,164.2608145,183.5883429,5276970000
22.53,0,0.16573529,0.16573529,0.163626117,0.16573529,0.163626117,0,0,0,0,7.229551109,164.2515061,183.5836489,5279313000
22.54,0,0.165732035,0.165732035,0.163624672,0.165732035,0.163624672,0,0,0,0,7.228578496,164.2421551,183.5789301,5281657000
22.55,0,0.165728804,0.165728804,0.16362325,0.165728804,0.16362325,0,0,0,0,7.227606629,164.2328588,183.5742386,5283999000
22.56,0,0.165725566,0.165725566,0.163621818,0.165725566,0.163621818,0,0,0,0,7.226634653,164.2235538,183.5695406,5286343000
22.57,0,0.16572233,0.16572233,0.163620385,0.16572233,0.163620385,0,0,0,0,7.225663082,164.2142398,183.5648346,5288686000
22.58,0,0.165719108,0.165719108,0.163618965,0.165719108,0.163618965,0,0,0,0,7.224691859,164.2049546,183.5601421,5291030000
22.59,0,0.165715878,0.165715878,0.163617534,0.165715878,0.163617534,0,0,0,0,7.223720476,164.1956652,183.5554457,5293372000
22.6,0,0.16571265,0.16571265,0.163616103,0.16571265,0.163616103,0,0,0,0,7.222749451,164.186362,183.5507387,5295716000
22.61,0,0.165709437,0.165709437,0.163614684,0.165709437,0.163614684,0,0,0,0,7.221778355,164.1770804,183.5460421,5298059000
22.62,0,0.165706226,0.165706226,0.163613265,0.165706226,0.163613265,0,0,0,0,7.22080798,164.1678285,183.5413585,5300403000
22.63,0,0.165703017,0.165703017,0.163611846,0.165703017,0.163611846,0,0,0,0,7.219837531,164.1585484,183.5366572,5302745000
22.64,0,0.165699804,0.165699804,0.16361042,0.165699804,0.16361042,0,0,0,0,7.218866981,164.1492756,183.5319583,5305089000
22.65,0,0.165696601,0.165696601,0.163609002,0.165696601,0.163609002,0,0,0,0,7.217897164,164.1400438,183.5272787,5307432000
22.66,0,0.16569341,0.16569341,0.163607594,0.16569341,0.163607594,0,0,0,0,7.216927212,164.1307813,183.52258,5309775000
22.67,0,0.165690205,0.165690205,0.16360617,0.165690205,0.16360617,0,0,0,0,7.21595714,164.1215254,183.5178833,5312118000
22.68,0,0.16568702,0.16568702,0.163604764,0.16568702,0.163604764,0,0,0,0,7.214987421,164.1122884,183.5131943,5314462000
22.69,0,0.16568383,0.16568383,0.16360335,0.16568383,0.16360335,0,0,0,0,7.214018011,164.1030365,183.508494,5316805000
22.7,0,0.165680643,0.165680643,0.163601936,0.165680643,0.163601936,0,0,0,0,7.213048836,164.0938265,183.5038146,5319149000
22.71,0,0.165677466,0.165677466,0.163600531,0.165677466,0.163600531,0,0,0,0,7.212079577,164.0846006,183.4991244,5321491000
22.72,0,0.165674284,0.165674284,0.163599118,0.165674284,0.163599118,0,0,0,0,7.211110615,164.0753731,183.4944303,5323834000
22.73,0,0.165671114,0.165671114,0.163597716,0.165671114,0.163597716,0,0,0,0,7.2101419,164.0661751,183.4897501,5326178000
22.74,0,0.165667937,0.165667937,0.163596303,0.165667937,0.163596303,0,0,0,0,7.209173106,164.0569714,183.4850647,5328521000
22.75,0,0.165664784,0.165664784,0.163594912,0.165664784,0.163594912,0,0,0,0,7.208204572,164.0477618,183.480373,5330864000
22.76,0,0.165661614,0.165661614,0.163593503,0.165661614,0.163593503,0,0,0,0,7.207236353,164.0385818,183.475695,5333208000
22.77,0,0.165658464,0.165658464,0.163592111,0.165658464,0.163592111,0,0,0,0,7.206267924,164.0293909,183.4710092,5335551000
22.78,0,0.165655308,0.165655308,0.163590711,0.165655308,0.163590711,0,0,0,0,7.205299869,164.0201954,183.4663176,5337894000
22.79,0,0.165652157,0.165652157,0.163589313,0.165652157,0.163589313,0,0,0,0,7.204331628,164.0110125,183.4616313,5340237000
22.8,0,0.165648997,0.165648997,0.163587904,0.165648997,0.163587904,0,0,0,0,7.203363998,164.0018602,183.4569583,5342580000
22.81,0,0.16564586,0.16564586,0.163586516,0.16564586,0.163586516,0,0,0,0,7.202396257,163.9926871,183.4522716,5344924000
22.82,0,0.165642725,0.165642725,0.163585129,0.165642725,0.163585129,0,0,0,0,7.20142842,163.9835268,183.44759,5347267000
22.83,0,0.165639584,0.165639584,0.163583731,0.165639584,0.163583731,0,0,0,0,7.200460751,163.9743476,183.4428949,5349610000
22.84,0,0.165636445,0.165636445,0.163582335,0.165636445,0.163582335,0,0,0,0,7.199493409,163.9652092,183.4382197,5351953000
22.85,0,0.16563332,0.16563332,0.16358095,0.16563332,0.16358095,0,0,0,0,7.198526284,163.9560824,183.433548,5354297000
22.86,0,0.165630196,0.165630196,0.163579565,0.165630196,0.163579565,0,0,0,0,7.197558948,163.9469526,183.4288727,5356640000
22.87,0,0.165627066,0.165627066,0.16357817,0.165627066,0.16357817,0,0,0,0,7.196591923,163.9378001,183.4241814,5358983000
22.88,0,0.165623949,0.165623949,0.163576786,0.165623949,0.163576786,0,0,0,0,7.195624648,163.9286783,183.4195056,5361326000
22.89,0,0.165620844,0.165620844,0.163575413,0.165620844,0.163575413,0,0,0,0,7.19465769,163.9195412,183.4148179,5363670000
22.9,0,0.165617722,0.165617722,0.16357402,0.165617722,0.16357402,0,0,0,0,7.193690965,163.9104382,183.4101463,5366013000
22.91,0,0.165614612,0.165614612,0.163572637,0.165614612,0.163572637,0,0,0,0,7.192724068,163.9013214,183.4054649,5368356000
22.92,0,0.165611505,0.165611505,0.163571255,0.165611505,0.163571255,0,0,0,0,7.191757815,163.8922301,183.4007936,5370699000
22.93,0,0.165608402,0.165608402,0.163569874,0.165608402,0.163569874,0,0,0,0,7.190790903,163.8831122,183.3961065,5373043000
22.94,0,0.165605301,0.165605301,0.163568494,0.165605301,0.163568494,0,0,0,0,7.198500629,163.8740417,183.4219427,5375386000
22.95,0,0.165602211,0.165602211,0.163567122,0.165602211,0.163567122,0,0,0,0,7.19788215,163.8649423,183.4184915,5377729000
22.96,0,0.165599117,0.165599117,0.163565744,0.165599117,0.163565744,0,0,0,0,7.197263954,163.8558568,183.4150485,5380072000
22.97,0,0.165596034,0.165596034,0.163564375,0.165596034,0.163564375,0,0,0,0,7.196646941,163.8467952,183.4116166,5382415000
22.98,0,0.165592953,0.165592953,0.163563006,0.165592953,0.163563006,0,0,0,0,7.196030095,163.8377132,183.4081737,5384759000
22.99,0,0.165589867,0.165589867,0.163561629,0.165589867,0.163561629,0,0,0,0,7.1954135,163.8286473,183.4047403,5387102000
23,0,0.165586791,0.165586791,0.16356026,0.165586791,0.16356026,0,0,0,0,7.194797636,163.8195864,183.4013086,5389445000
23.01,0,0.165583728,0.165583728,0.163558903,0.165583728,0.163558903,0,0,0,0,7.194182456,163.8105234,183.3978748,5391789000
23.02,0,0.165580651,0.165580651,0.163557528,0.165580651,0.163557528,0,0,0,0,7.193567958,163.8014917,183.3944577,5394132000
23.03,0,0.165577593,0.165577593,0.163556172,0.165577593,0.163556172,0,0,0,0,7.192953646,163.7924299,183.3910242,5396475000
23.04,0,0.165574518,0.165574518,0.163554795,0.165574518,0.163554795,0,0,0,0,7.192340194,163.7834102,183.387613,5398818000
23.05,0,0.165571459,0.165571459,0.163553433,0.165571459,0.163553433,0,0,0,0,7.191726868,163.7743697,183.3841907,5401161000
23.06,0,0.165568409,0.165568409,0.163552077,0.165568409,0.163552077,0,0,0,0,7.191114288,163.7653333,183.3807696,5403505000
