Run Description:,asdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run date:,09-17-22-16-19-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outer Diameter (in),Dry mass (lbm),Wet Mass (lbm),Mass of Propellant Tanks (lbm),Burn time (s),Expected Isp (s),Max Alt (ft),Rail Speed (ft/s),Max Mach,Max Accel (g),Chamber Pressure (psi),O/F,Total Mass Flow (lbm/s),Thrust (lbf),Height of rocket (ft),Aspect Ratio,Fuel Tank Height (ft),Ox Tank Height (ft),Burnout Altitude (ft),Fuel Tank ID (in),Ox Tank ID (in),Expected C-Star (m/s),Total Throat Radius Ablation (in),Nozzle Exit Radius (in),Thrust to Weight Ratio,Fuel Tank Volume (in^3),Ox Tank Volume (in^3),Helium Tank Volume (L),Ambient Pressure at Half Burn (psi),Fuel Tank Pressure (psi),Ox Tank Pressure (psi),Ox Run Line Velocity (ft/s),Fuel Run Line Velocity (ft/s),Ox Run Line Size,Fuel Run Line Size,Exit Pressure (psi),Combustion Temperature (K),Altitude At t=10s (ft),COPV Mass (lbm),Throat Radius (in),Vehicle Return Index,FFC (%),FFC Diameter (in),Num FFC Holes
9.5,268.5192939,502.0871542,35.99838433,20,190.0550459,64002.42719,106.4241214,2.138434604,4.536917245,155,1.1,10.8045,2053.449743,24.1983005,30.56627431,5.314485237,4.646315262,22717.3162,9.3,9.3,1718.28,0.21,3.431668689,4.089827286,4121.5174,3576.859282,40,11.33792092,305.9868584,305.8393098,22.79132328,26.26182023,16,16,10.5,3266.11,6994.20918,39.68,1.971702459,142,0.105,1,1
10.5,275.8611286,509.428989,33.55889107,20,190.0550459,54911.41517,105.2500199,1.989450535,-4.196342529,155,1.1,10.8045,2053.449743,22.92573035,26.20083468,4.408145027,3.863418652,21793.18462,10.3,10.3,1718.28,0.21,3.431668689,4.030885143,4121.5174,3576.859282,40,11.39438285,305.9868584,305.8393098,22.79132328,26.26182023,16,16,10.5,3266.11,6863.68517,39.68,1.971702459,143,0.105,1,1
11,280.5909134,514.1587738,32.59248632,20,190.0550459,51061.71148,104.8348005,1.913298455,-4.348501573,155,1.1,10.8045,2053.449743,22.46544183,24.50775472,4.049199058,3.553742773,21299.75392,10.8,10.8,1718.28,0.21,3.431668689,3.993804731,4121.5174,3576.859282,40,11.42788589,305.9868584,305.8393098,22.79132328,26.26182023,16,16,10.5,3266.11,6786.485257,39.68,1.971702459,144,0.105,1,1
10,273.847667,518.7859773,36.23462668,21,190.0550459,63774.10862,103.5706774,2.135294077,4.32034574,155,1.1,10.8045,2053.449743,23.92055987,28.70467184,5.053270817,4.421455717,23704.72366,9.8,9.8,1718.28,0.2205,3.431668689,3.958182821,4327.59327,3755.702246,40,11.22357546,305.9868584,305.8393098,22.79132328,26.26182023,16,16,10.5,3266.11,6760.86271,39.68,1.971702459,146,0.105,1,1
9.5,270.6412292,515.5795395,37.63064226,21,190.0550459,69055.6005,104.465049,2.211828106,4.583286984,155,1.1,10.8045,2053.449743,24.67050719,31.16274592,5.567292832,4.865714358,24185.96453,9.3,9.3,1718.28,0.2205,3.431668689,3.982799133,4327.59327,3755.702246,40,11.19656835,305.9868584,305.8393098,22.79132328,26.26182023,16,16,10.5,3266.11,6816.729733,39.68,1.971702459,147,0.105,1,1
10.5,277.775072,522.7133823,35.03115517,21,190.0550459,58992.69542,103.3885622,2.056594696,-4.124653896,155,1.1,10.8045,2053.449743,23.31069742,26.64079705,4.614246723,4.042284029,23195.81582,10.3,10.3,1718.28,0.2205,3.431668689,3.92844303,4327.59327,3755.702246,40,11.25470584,305.9868584,305.8393098,22.79132328,26.26182023,16,16,10.5,3266.11,6696.717625,39.68,1.971702459,148,0.105,1,1
11,282.4154357,527.353746,33.99596499,21,190.0550459,54712.43579,103.0109248,1.976939811,-4.271444719,155,1.1,10.8045,2053.449743,22.81558892,24.88973337,4.236659011,3.716429911,22665.99368,10.8,10.8,1718.28,0.2205,3.431668689,3.893875332,4327.59327,3755.702246,40,11.28942403,305.9868584,305.8393098,22.79132328,26.26182023,16,16,10.5,3266.11,6625.030157,39.68,1.971702459,149,0.105,1,1
11.5,287.7663798,532.7046901,33.10912429,21,190.0550459,50909.13768,101.5707053,1.897425953,-4.400613672,155,1.1,10.8045,2053.449743,22.41538057,23.38996233,3.90987845,3.434668784,22121.66773,11.3,11.3,1718.28,0.2205,3.431668689,3.8547619,4327.59327,3755.702246,40,11.32733312,305.9868584,305.8393098,22.79132328,26.26182023,16,16,10.5,3266.11,6546.483191,39.68,1.971702459,150,0.105,1,1
10,275.8602473,532.1690076,37.78276541,22,190.0550459,68615.64838,101.7383384,2.206070818,4.375887827,155,1.1,10.8045,2053.449743,24.3458114,29.21497367,5.280939798,4.619038264,25159.51656,9.8,9.8,1718.28,0.231,3.431668689,3.858642111,4533.66914,3934.54521,40,11.08448897,305.9868584,305.8393098,22.79132328,26.26182023,16,16,10.5,3266.11,6597.11107,39.68,1.971702459,151,0.105,1,1
9.5,272.7631645,529.0719248,39.26290019,22,190.0550459,74416.98321,102.5732282,2.285470494,4.632406486,155,1.1,10.8045,2053.449743,25.14271388,31.75921754,5.820100428,5.085113455,25672.26286,9.3,9.3,1718.28,0.231,3.431668689,3.881229842,4533.66914,3934.54521,40,11.05678454,305.9868584,305.8393098,22.79132328,26.26182023,16,16,10.5,3266.11,6648.265608,39.68,1.971702459,152,0.105,1,1
10.5,279.6890153,535.9977756,36.50341926,22,190.0550459,63336.34398,101.5876087,2.124213662,4.113497465,155,1.1,10.8045,2053.449743,23.69566449,27.08075942,4.820348419,4.221149406,24616.21859,10.3,10.3,1718.28,0.231,3.431668689,3.831078852,4533.66914,3934.54521,40,11.11641852,305.9868584,305.8393098,22.79132328,26.26182023,16,16,10.5,3266.11,6537.870501,39.68,1.971702459,153,0.105,1,1
11,284.239958,540.5487183,35.39944367,22,190.0550459,58597.00873,101.2448366,2.041173198,-4.201593777,155,1.1,10.8045,2053.449743,23.16573601,25.27171202,4.424118964,3.87911705,24049.94635,10.8,10.8,1718.28,0.231,3.431668689,3.798824553,4533.66914,3934.54521,40,11.15218439,305.9868584,305.8393098,22.79132328,26.26182023,16,16,10.5,3266.11,6471.235423,39.68,1.971702459,154,0.105,1,1
10,272.656548,510.8654083,35.31838132,20,190.0550459,60978.06979,105.8831221,2.105325926,4.397072746,155,1.1,11.025,2095.356881,23.66888039,28.40265647,4.918527951,4.304519107,22574.82076,9.8,9.8,1718.28,0.21,3.466508858,4.101583013,4205.63,3649.85641,40,11.33537912,306.1209674,305.967335,23.25645233,26.79777575,16,16,10.5,3266.11,7000.324107,39.68,1.991720256,176,0.105,1,1
9.5,269.3853899,507.5942502,36.66461206,20,190.0550459,65976.27227,106.8187457,2.179911461,4.668774038,155,1.1,11.025,2095.356881,24.39103792,30.80973211,5.417672011,4.735865913,23028.00129,9.3,9.3,1718.28,0.21,3.466508858,4.128015398,4205.63,3649.85641,40,11.30914082,306.1209674,305.967335,23.25645233,26.79777575,16,16,10.5,3266.11,7061.001889,39.68,1.991720256,177,0.105,1,1
