Run Description:,asfd
Run date:,09-15-22-17-27-12
Outer Diameter (in),Dry mass (lbm),Wet Mass (lbm),Mass of Propellant Tanks (lbm),Burn time (s),Expected Isp (s),Max Alt (ft),Rail Speed (ft/s),Max Mach,Max Accel (g),Chamber Pressure (psi),O/F,Total Mass Flow (lbm/s),Thrust (lbf),Height of rocket (ft),Aspect Ratio,Fuel Tank Height (ft),Ox Tank Height (ft),Burnout Altitude (ft),Fuel Tank ID (in),Ox Tank ID (in),Expected C-Star (m/s),Total Throat Radius Ablation (in),Nozzle Exit Radius (in),Thrust to Weight Ratio,Fuel Tank Volume (in^3),Ox Tank Volume (in^3),Helium Tank Volume (L),Ambient Pressure at Half Burn (psi),Fuel Tank Pressure (psi),Ox Tank Pressure (psi),Ox Run Line Velocity (ft/s),Fuel Run Line Velocity (ft/s),Ox Run Line Size,Fuel Run Line Size,Exit Pressure (psi),Combustion Temperature (K),Altitude At t=10s (ft),COPV Mass (lbm),Throat Radius (in),Vehicle Return Index,FFC (%),FFC Diameter (in),Num FFC Holes
10,272.245817291816,508.134177612962,35.0024346366644,22,192.785321100917,62119.6743766288,100.304597184776,2.06654718623645,3.92626381574529,170,1.1,9.9225,1912.91234862385,23.5820943657111,28.2985132388534,4.87206489390355,4.26419613847426,24122.3804793415,9.8,9.8,1719.63,0.231,3.24014707307878,3.76458115376149,4163.5737,3613.35784615385,40,11.1682187173336,334.774389868817,334.649947626247,20.9308070935736,24.1179981737314,16,16,10.5,3275.89,6437.68576906424,39.68,1.80493481601359,11,0.105,1,1
9.5,268.952341904115,504.840702225261,36.3314981921159,22,192.785321100917,67166.6629487809,101.228853753397,2.14323976068245,4.16550074986736,170,1.1,9.9225,1912.91234862385,24.2946692115287,30.6880032145626,5.36607862398283,4.69109058754591,24630.5247275624,9.3,9.3,1719.63,0.231,3.24014707307878,3.78914049559005,4163.5737,3613.35784615385,40,11.1390919180162,334.774389868817,334.649947626247,20.9308070935736,24.1179981737314,16,16,10.5,3275.89,6491.50330718785,39.68,1.80493481601359,12,0.105,1,1
10.5,276.251729325344,512.14008964649,33.8593531293468,22,192.785321100917,57552.5858761777,100.036639323212,1.98809556104442,-3.95176479707861,170,1.1,9.9225,1912.91234862385,23.004295054457,26.2906229193794,4.45020659785138,3.89992178993895,23587.4504779847,10.3,10.3,1719.63,0.231,3.24014707307878,3.73513495095504,4163.5737,3613.35784615385,40,11.2016019497556,334.774389868817,334.649947626247,20.9308070935736,24.1179981737314,16,16,10.5,3275.89,6376.03891718475,39.68,1.80493481601359,13,0.105,1,1
11,280.963264932223,516.851625253369,32.8789105381342,22,192.785321100917,53464.244223851,99.5756588521273,1.90908476636838,-4.09223550318213,170,1.1,9.9225,1912.91234862385,22.5369004209973,24.5857095501788,4.08745619160043,3.58694422939683,23032.5123431627,10.8,10.8,1719.63,0.231,3.24014707307878,3.70108606640467,4163.5737,3613.35784615385,40,11.2385710258221,334.774389868817,334.649947626247,20.9308070935736,24.1179981737314,16,16,10.5,3275.89,6307.25006868196,39.68,1.80493481601359,14,0.105,1,1
11.5,286.379027732156,522.267388053302,32.0419304172884,22,192.785321100917,49822.6142827661,98.1124233357928,1.83036928880273,-4.20848601635765,170,1.1,9.9225,1912.91234862385,22.1608091305733,23.124322571033,3.77358730057559,3.31638849666433,22464.0267147625,11.3,11.3,1719.63,0.231,3.24014707307878,3.66270686698252,4163.5737,3613.35784615385,40,11.2791541705227,334.774389868817,334.649947626247,20.9308070935736,24.1179981737314,16,16,10.5,3275.89,6231.96000819146,39.68,1.80493481601359,15,0.105,1,1
10,274.094105363193,520.424715684339,36.4241946915694,23,192.785321100917,66522.9491891417,98.629284454503,2.13179180815048,3.97238868931488,170,1.1,9.9225,1912.91234862385,23.9726314833445,28.7671577800134,5.08114865170725,4.4456494983039,25533.4418795215,9.8,9.8,1719.63,0.2415,3.24014707307878,3.67567544540702,4352.82705,3777.60138461539,40,11.0327273183724,334.774389868817,334.649947626247,20.9308070935736,24.1179981737314,16,16,10.5,3275.89,6292.23706200814,39.68,1.80493481601359,16,0.105,1,1
9.5,270.901058007132,517.231668328278,37.8305105790526,23,192.785321100917,72042.1023052463,99.497521229223,2.21132062100912,4.21519103697698,170,1.1,9.9225,1912.91234862385,24.7283284181134,31.2357832649853,5.5982488644669,4.89257955364648,26073.7800880723,9.3,9.3,1719.63,0.2415,3.24014707307878,3.69836664256559,4352.82705,3777.60138461539,40,11.0027843331821,334.774389868817,334.649947626247,20.9308070935736,24.1179981737314,16,16,10.5,3275.89,6341.84303675044,39.68,1.80493481601359,17,0.105,1,1
10.5,278.009432379355,524.340042700501,35.2114324016628,23,192.785321100917,61506.444334228,98.3921597403905,2.05024030745877,-3.88300171990072,170,1.1,9.9225,1912.91234862385,23.357836243801,26.6946699929154,4.63948366543048,4.06418591170386,24963.5509594082,10.3,10.3,1719.63,0.2415,3.24014707307878,3.64822861662788,4352.82705,3777.60138461539,40,11.0670286329588,334.774389868817,334.649947626247,20.9308070935736,24.1179981737314,16,16,10.5,3275.89,6234.96831758429,39.68,1.80493481601359,18,0.105,1,1
11,282.638846616251,528.969456937397,34.1678195258479,23,192.785321100917,57002.7105415027,97.965034913021,1.96790915410594,-4.01999813091084,170,1.1,9.9225,1912.91234862385,22.8584640764971,24.9365062652696,4.25961329121864,3.7363507852785,24371.908751944,10.8,10.8,1719.63,0.2415,3.24014707307878,3.6163001918847,4352.82705,3777.60138461539,40,11.1051652801929,334.774389868817,334.649947626247,20.9308070935736,24.1179981737314,16,16,10.5,3275.89,6170.6876576308,39.68,1.80493481601359,19,0.105,1,1
11.5,287.979818539971,534.310428861118,33.2733079617621,23,192.785321100917,52992.8628477649,96.5643655102159,1.88585735301038,-4.14284838049569,170,1.1,9.9225,1912.91234862385,22.4545454041852,23.4308299869758,3.93084631928862,3.45286575156321,23765.0683942967,11.3,11.3,1719.63,0.2415,3.24014707307878,3.58015162215947,4352.82705,3777.60138461539,40,11.1470294831754,334.774389868817,334.649947626247,20.9308070935736,24.1179981737314,16,16,10.5,3275.89,6100.00912830134,39.68,1.80493481601359,20,0.105,1,1
